Journal,Scope
JOURNAL OF BUSINESS & ECONOMIC STATISTICS,"The Journal of Business and Economic Statistics (JBES) serves as an outlet for high-quality methodological contributions oriented towards applications in microeconomics, macroeconomics, business, and finance. The innovations in methodology include the development and improvement of statistical methods; adapting methods from other fields, including machine learning and data science more broadly; as well as computational improvements. Theoretical contributions should have clear empirical relevance. Articles published in JBES feature excellent exposition, clear motivation, and often include a substantive empirical application.
JBES is indexed in the Current Index to Statistics and in ABI/INFORM. It is accessible through MathSci Online. JBES is abstracted in the Journal of Economic Literature and the online Economic Literature Index."
JOURNAL OF COMPUTATIONAL AND GRAPHICAL STATISTICS,"The Journal of Computational and Graphical Statistics ( JCGS ) presents the very latest techniques on improving and extending the use of computational and graphical methods in statistics and data analysis. Established in 1992, this journal contains cutting-edge research, data, surveys, and more on numerical graphical displays and methods, and perception. Articles are written for readers who have a strong background in statistics but are not necessarily experts in computing. Published in March, June, September, and December.
JCGS is indexed by MathSci Online, Current Index to Statistics, SciSearch, Research Alert, CompuMath Citation Index, and Current Contents/Physical, Chemical and Earth Sciences."
JOURNAL OF MULTIVARIATE ANALYSIS,"The Journal of Multivariate Analysis (JMVA) is the central venue for the publication of new, relevant methodology and particularly theoretical developments of multivariate statistics combined with innovative applications pertaining to the analysis and interpretation of multidimensional data.
Papers making substantial contributions to regression or time series analysis for multidimensional response variables are invited.
Please note that a JMVA article is of length 15-25 pages. All proofs of propositions, theorems and lemmas should appear in the main body of the text or an appendix (not in a supplement).
The journal welcomes contributions to all aspects of multivariate data analysis and modeling, including cluster analysis, discriminant analysis, factor analysis, independent component analysis and multidimensional continuous or discrete distribution theory, where the theory should connect to multivariate statistical inference.
Topics of current interest include, but are not limited to, inferential aspects of:
Change point analysis
Copula modeling
Functional data analysis
Graphical modeling
High-dimensional data analysis
Image analysis
Multivariate extreme-value theory
Multivariate mixed models
Sparse modeling
Spatial statistics,
Submissions dealing with univariate models, including regression models with a single response variable and univariate time series models, are usually deemed to fall outside the journal's remit.
Papers whose content is probabilistic in nature or whose main contribution is to substantive areas (e.g., actuarial science, biostatistics, economics, finance or hydrology) typically fall outside the journal's scope and will only be considered for publication if the statistical methodology used is both novel and broadly applicable.
Finally, note that contributors to multivariate survival analysis, reliability theory and statistical quality control should submit their papers to journals specializing in these areas to ensure that their work reaches the targeted audience.
This journal has an Open Archive. All published items, including research articles, have unrestricted access and will remain permanently free to read and download 48 months after publication. All papers in the Archive are subject to Elsevier's user license."
JOURNAL OF NONPARAMETRIC STATISTICS,"Journal of Nonparametric Statistics provides a medium for the publication of research and survey work in nonparametric statistics and related areas. The scope includes, but is not limited to the following topics:
Nonparametric modeling
Nonparametric function estimation
Rank and other robust and distribution-free procedures
Resampling methods
Lack-of-fit testing
Multivariate analysis
Inference with high-dimensional data
Dimension reduction and variable selection
Methods for errors in variables, missing, censored, and other incomplete data structures
Inference of stochastic processes
Sample surveys
Time series analysis
Longitudinal and functional data analysis
Nonparametric Bayes methods and decision procedures
Semiparametric models and procedures
Statistical methods for imaging and tomography
Statistical inverse problems
Financial statistics and econometrics
Bioinformatics and comparative genomics
Statistical algorithms and machine learning.
Both the theory and applications of nonparametric statistics are covered in the journal. Research applying nonparametric methods to medicine, engineering, technology, science and humanities is welcomed, provided the novelty and quality level are of the highest order.
Authors are encouraged to submit supplementary technical arguments, computer code, data analysed in the paper or any additional information for online publication along with the published paper."
JOURNAL OF STATISTICAL COMPUTATION AND SIMULATION,"Journal of Statistical Computation and Simulation ( JSCS ) publishes significant and original work in areas of statistics which are related to or dependent upon the computer. Fields covered include computer algorithms related to probability or statistics, studies in statistical inference by means of simulation techniques, and implementation of interactive statistical systems. JSCS does not consider applications of statistics to other fields, except as illustrations of the use of the original statistics presented. Accepted papers should ideally appeal to a wide audience of statisticians and provoke real applications of theoretical constructions."
JOURNAL OF STATISTICAL PLANNING AND INFERENCE,"The Journal of Statistical Planning and Inference offers itself as a multifaceted and all-inclusive bridge between classical aspects of statistics and probability, and the emerging interdisciplinary aspects that have a potential of revolutionizing the subject. While we maintain our traditional strength in statistical inference, design, classical probability, and large sample methods, we also have a far more inclusive and broadened scope to keep up with the new problems that confront us as statisticians, mathematicians, and scientists, such as clustering, post model selection inference, deep learning and random networks.
We publish high quality articles in all branches of statistics, probability, discrete mathematics, machine learning, and bioinformatics. We also especially welcome well written and up to date review articles on fundamental themes of statistics, probability, machine learning, and general biostatistics. Thoughtful letters to the editors, interesting problems in need of a solution, and short notes carrying an element of elegance or beauty are equally welcome.
We want to serve as the broadest international platform for high quality research on every aspect of our field, traditional and cutting edge. The quality and the breadth of our editorial board reflects that singular priority."
JOURNAL OF STATISTICAL SOFTWARE,"The Journal of Statistical Software (JSS) publishes open-source software and corresponding reproducible scholarly articles discussing all aspects of the design, implementation, documentation, application, evaluation, comparison, maintenance and distribution of software dedicated to improvement of state-of-the-art in statistical computing in all areas of empirical research. Open-source code and articles are jointly reviewed and published in this journal and should be accessible to a broad community of practitioners, teachers, and researchers in the field of statistics."
JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,"Established in 1888 and published quarterly in March, June, September, and December, the Journal of the American Statistical Association ( JASA ) has long been considered the premier journal of statistical science. Articles focus on statistical applications, theory, and methods throughout all disciplines that make use of data, including economic, social, biological, physical, engineering, and health sciences and the humanities. Important books contributing to statistical advancement are reviewed in JASA .
JASA is indexed in Current Index to Statistics and MathSci Online and reviewed in Mathematical Reviews. JASA is abstracted by Access Company and is indexed and abstracted in the SRM Database of Social Research Methodology."
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES A-STATISTICS IN SOCIETY,"Series A looks at how innovative statistical thinking, design, methods, and analyses play a vital role in all walks of life and benefit society. For example, medicine and biomedical sciences, business and commerce, industry, economics and finance, education and teaching, the law, government and politics, demography, psychology, sociology and sport all fall within its remit.
The journal‘s emphasis is on clearly written quantitative approaches to problems of current relevance rather than the exposition of technical detail. Of particular interest are papers on topical or contentious statistical issues that give reviews or exposés of current statistical concerns, and papers that contribute to our understanding of important substantive questions. Historical, professional, and biographical contributions are also published, as are discussions of methods of data collection and of ethical issues."
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,"The Journal of the Royal Statistical Society, Series B (Statistical Methodology) aims to publish high quality papers on the methodological aspects of statistics and data science more broadly. Papers should contribute to the understanding of statistical methodology and/or develop and improve statistical methods; any mathematical theory should be directed towards these aims. Many papers published in Series B present new methods of collecting or analysing data, with associated theory, an indication of the scope of application, and a real example. Also considered are comparisons, critical evaluations and new applications of existing methods, contributions to probability theory which have a clear practical bearing, statistical computation or simulation where original methodology is involved, and original contributions to the foundations of statistical science. A paper, even if correct and well presented, is likely to be rejected if it only presents straightforward special cases of previously published work, if it is of mathematical interest only, if it is too long in relation to the importance of the new material that it contains, or if it is dominated by computations or simulations of a routine nature."
DATA MINING AND KNOWLEDGE DISCOVERY,"Advances in data gathering, storage, and distribution have created a need for computational tools and techniques to aid in data analysis. Data Mining and Knowledge Discovery in Databases (KDD) is a rapidly growing area of research and application that builds on techniques and theories from many fields, including statistics, databases, pattern recognition and learning, data visualization, uncertainty modelling, data warehousing and OLAP, optimization, and high performance computing.
KDD is concerned with issues of scalability, the multi-step knowledge discovery process for extracting useful patterns and models from raw data stores (including data cleaning and noise modelling), and issues of making discovered patterns understandable.
Data Mining and Knowledge Discovery is the premier technical publication in the field, providing a resource collecting relevant common methods and techniques and a forum for unifying the diverse constituent research communities. The journal publishes original technical papers in both the research and practice of DMKD, surveys and tutorials of important areas and techniques, and detailed descriptions of significant applications. Short (2-4 pages) application summaries are published in a special section.
The journal accepts paper submissions of any work relevant to DMKD. A summary of the scope of Data Mining and Knowledge Discovery includes:
Theory and Foundational Issues: Data and knowledge representation; modelling of structured, textual, and multimedia data; uncertainty management; metrics of interestingness and utility of discovered knowledge; algorithmic complexity, efficiency, and scalability issues in data mining; statistics over massive data sets.
Data Mining Methods: including classification, clustering, probabilistic modelling, prediction and estimation, dependency analysis, search, and optimization.
Algorithms for data mining including spatial, textual, and multimedia data (e.g., the Web), scalability to large databases, parallel and distributed data mining techniques, and automated discovery agents.
Knowledge Discovery Process: Data pre-processing for data mining, including data cleaning, selection, efficient sampling, and data reduction methods; evaluating, consolidating, and explaining discovered knowledge; data and knowledge visualization; interactive data exploration and discovery.
Application Issues: Application case studies; data mining systems and tools; details of successes and failures of KDD; resource/knowledge discovery on the Web; privacy and security issues."
JOURNAL OF ECONOMETRICS,"The Journal of Econometrics serves as an outlet for important, high quality, new research in both theoretical and applied econometrics. The scope of the Journal includes papers dealing with identification, estimation, testing, decision, and prediction issues encountered in economic research. Classical Bayesian statistics, experimental design, and machine learning methods are decidedly within the range of the Journal's interests.
There are two types of submissions
1. Regular (open submissions):
full length papers, or
short papers less than 15 pages.
A Themed issue is a collection of regular (open)submissions on the same topic proposed and/or approved by the Co-Editors. A full list of Themed Issues currently open for submission can be found here. Proposals for themed issues can be sent to journalofeconometrics@gmail.com
2. Invited papers The Co-Editors may invite contributions to
“how to” papers on topics of interest in applied economics.
“Annals Issues” to mark special events."
STATISTICAL METHODS IN MEDICAL RESEARCH,"Statistical Methods in Medical Research is a highly ranked, peer reviewed scholarly journal and is the leading vehicle for review and non-review articles in all the main areas of medical statistics. It is therefore an essential reference for all medical statisticians. It is particularly useful for medical researchers dealing with data and it provides a key resource for medical and statistical libraries, as well as pharmaceutical companies. This unique journal is devoted solely to statistics and medicine and aims to keep professionals abreast of the many powerful statistical techniques now available to the medical profession. As techniques are constantly adopted by statisticians working both inside and outside the medical environment, this review journal aims to satisfy the increasing demand for accurate and up-to-the-minute information."
STATISTICAL PAPERS,"Statistical Papers is a forum for presentation and critical assessment of statistical methods encouraging the discussion of methodological foundations and potential applications.
The Journal stresses statistical methods that have broad applications, giving special attention to those relevant to the economic and social sciences.
Covers all topics of modern data science, such as frequentist and Bayesian design and inference as well as statistical learning.
Contains original research papers (regular articles), survey articles, short communications, reports on statistical software, and book reviews.
High author satisfaction with 90% likely to publish in the journal again."
TECHNOMETRICS,"Technometrics is a Journal of Statistics for the Physical, Chemical, and Engineering Sciences, and is published Quarterly by the American Society for Quality and the American Statistical Association.
Since its inception in 1959, the mission of Technometrics has been to contribute to the development and use of statistical methods in the physical, chemical, and engineering sciences.
The purpose of Technometrics is to contribute to the development and use of statistical and machine learning methods in physical, chemical, and engineering sciences. This vision includes developments on the interface of statistics and computer science such as data mining, machine learning, large databases, and so on. The journal places a premium on clear communication among statisticians and practitioners of these sciences and an emphasis on the application of statistical concepts and methods to problems that occur in these fields. The journal will publish papers describing new statistical techniques, papers illustrating innovative application of known statistical methods, expository papers on particular statistical methods, and papers dealing with the philosophy and problems of applying statistical methods, when such papers are consistent with the journal's objective. Every article shall include adequate justification of the application of the technique, preferably by means of an actual application to a problem in the physical, chemical or engineering sciences. All papers must contain a short, clear summary of contents and conclusions. Mathematical derivations not essential to the flow of the text should be placed in an appendix or a supplementary file. Brief descriptions of problems requiring solution and short technical notes that clearly pertain to the journal's purpose will also be considered for publication. Concise letters to the editor will be published when they are considered timely and appropriate."
TEST,"Journal TEST focuses on cutting-edge research in all areas of Statistics and Probability with significant theoretical, methodological, and applied impact.TEST is published by the Spanish Society of Statistics, Operations Research and Data Science (SEIO)."
JOURNAL OF SURVEY STATISTICS AND METHODOLOGY,"The Journal of Survey Statistics and Methodology, sponsored by AAPOR and the American Statistical Association, began publishing in 2013. Its objective is to publish cutting edge scholarly articles on statistical and methodological issues for sample surveys, censuses, administrative record systems, and other related data. It aims to be the flagship journal for research on survey statistics and methodology. Topics of interest include survey sample design, statistical inference, nonresponse, measurement error, the effects of modes of data collection, paradata and responsive survey design, combining data from multiple sources, record linkage, disclosure limitation, and other issues in survey statistics and methodology. The journal publishes both theoretical and applied papers, provided the theory is motivated by an important applied problem and the applied papers report on research that contributes generalizable knowledge to the field. Review papers are also welcomed. Papers on a broad range of surveys are encouraged, including (but not limited to) surveys concerning business, economics, marketing research, social science, environment, epidemiology, biostatistics and official statistics. The journal has three sections. The Survey Statistics section presents papers on innovative sampling procedures, imputation, weighting, measures of uncertainty, small area inference, new methods of analysis, and other statistical issues related to surveys. The Survey Methodology section presents papers that focus on methodological research, including methodological experiments, methods of data collection and use of paradata. The Applications section contains papers involving innovative applications of methods and providing practical contributions and guidance, and/or significant new findings."
STAT,"Stat is an innovative electronic journal for the rapid publication of novel and topical research results, publishing compact articles of the highest quality in all areas of statistical endeavour. Its purpose is to provide a means of rapid sharing of important new theoretical, methodological and applied research. Stat is a joint venture between the International Statistical Institute and Wiley.
Stat is characterised by:
Speed - a high-quality review process that aims to reach a decision within 20 days of submission. 
Concision - a maximum article length of 10 pages of text, not including references.Supporting materials - inclusion of electronic supporting materials including graphs, video, software, data and images.
Scope - addresses all areas of statistics and interdisciplinary areas.
Stat is a scientific journal for the international community of statisticians and researchers and practitioners in allied quantitative disciplines."
STATA JOURNAL,"The Stata Journal is a quarterly publication containing articles about statistics, data analysis, teaching methods, and effective use of Stata's language. The Stata Journal publishes reviewed papers together with shorter notes and comments, regular columns, book reviews, and other material of interest to researchers applying statistics in a variety of disciplines."
STATISTICS IN MEDICINE,"The journal aims to influence practice in medicine and its associated sciences through the publication of papers on statistical and other quantitative methods. Papers will explain new methods and demonstrate their application, preferably through a substantive, real, motivating example or a comprehensive evaluation based on an illustrative example. Alternatively, papers will report on case-studies where creative use or technical generalizations of established methodology is directed towards a substantive application. Reviews of, and tutorials on, general topics relevant to the application of statistics to medicine will also be published. The main criteria for publication are appropriateness of the statistical methods to a particular medical problem and clarity of exposition. Papers with primarily mathematical content will be excluded. The journal aims to enhance communication between statisticians, clinicians and medical researchers."
JOURNAL OF MACHINE LEARNING RESEARCH,"The Journal of Machine Learning Research (JMLR) provides an international forum for the electronic and paper publication of high-quality scholarly articles in all areas of machine learning. All published papers are freely available online. JMLR has a commitment to rigorous yet rapid reviewing. JMLR seeks previously unpublished papers on machine learning that contain: new principled algorithms with sound empirical validation, and with justification of theoretical, psychological, or biological nature; experimental and/or theoretical studies yielding new insight into the design and behavior of learning in intelligent systems; accounts of applications of existing techniques that shed light on the strengths and weaknesses of the methods; formalization of new learning tasks (e.g., in the context of new applications) and of methods for assessing performance on those tasks; development of new analytical frameworks that advance theoretical studies of practical learning methods; computational models of data from natural learning systems at the behavioral or neural level; or extremely well-written surveys of existing work."
MACHINE LEARNING,"Machine Learning is an international forum for research on computational approaches to learning. The journal publishes articles reporting substantive results on a wide range of learning methods applied to a variety of learning problems, including but not limited to: Learning Problems: Classification, regression, recognition, and prediction; Problem solving and planning; Reasoning and inference; Data mining; Web mining; Scientific discovery; Information retrieval; Natural language processing; Design and diagnosis; Vision and speech perception; Robotics and control; Combinatorial optimization; Game playing; Industrial, financial, and scientific applications of all kinds. Learning Methods: Supervised and unsupervised learning methods (including learning decision and regression trees, rules, connectionist networks, probabilistic networks and other statistical models, inductive logic programming, case-based methods, ensemble methods, clustering, etc.); Reinforcement learning; Evolution-based methods; Explanation-based learning; Analogical learning methods; Automated knowledge acquisition; Learning from instruction; Visualization of patterns in data; Learning in integrated architectures; Multistrategy learning; Multi-agent learning."
